key	scope	ko	en
brand.fullmenu.sub	common	전체 메뉴	Full Menu
brand.home.aria	common	무공해차 통합누리집 홈	Zero-Emission Vehicle Portal Home
brand.main	common	무공해차 통합누리집	Zero-Emission Vehicle Portal
brand.sub	common	Zero Emission Vehicle Portal	Republic of Korea
charging.card.agree	charging	개인정보 수집·이용 및 카드 발급을 위한 제3자 제공에 동의합니다.	I agree to the collection and use of personal information and to third-party provision for card issuance.
charging.card.agree.all	charging	아래 약관에 모두 동의합니다	I agree to all of the terms below
charging.card.agree.all.sub	charging	필수 약관 전체를 한 번에 동의 처리	Consent to all required terms at once
charging.card.agree.fulltext	charging	전문 보기	View full text
charging.card.agree.h	charging	약관 및 개인정보 동의	Terms & Privacy Consent
charging.card.agree.priv.desc	charging	ev.or.kr에서 수집한 개인정보의 제3자 제공 및 취급(처리) 위탁 현황입니다.	Status of third-party provision and processing consignment of personal information collected via ev.or.kr.
charging.card.agree.priv.title	charging	개인정보 제3자 제공 및 취급 위탁 동의	Consent to Third-party Provision & Processing Consignment of Personal Information
charging.card.agree.req	charging	(필수)	(Required)
charging.card.agree.tag.req	charging	필수	Required
charging.card.agree.tos.desc	charging	충전서비스 이용을 위한 회원과 한국자동차환경협회 간의 권리·의무를 정합니다.	Defines the rights and obligations between the member and KAEA for using the charging service.
charging.card.agree.tos.title	charging	공공급속충전인프라 서비스 공급 및 이용약관 동의	Consent to the Public Rapid Charging Infrastructure Service Terms
charging.card.apply.alert.body	charging	2026-05-08 신청 접수 → 2026-05-09 카드 제작 → 2026-05-10 등기우편 발송 (예정)	2026-05-08 Application received → 2026-05-09 Card production → 2026-05-10 Registered mail dispatch (planned)
charging.card.apply.alert.title	charging	발급 처리 중	Issuance In Progress
charging.card.apply.bc.card	charging	충전 카드 관리	Charging Card
charging.card.apply.bc.charging	charging	충전소·요금 정보	Charging & Rate Info
charging.card.apply.bc.current	charging	회원카드 신청·발급조회	Apply / Check Card
charging.card.apply.bc.home	charging	홈	Home
charging.card.apply.benefits.b1	charging	전국 22개 사업자 충전소 로밍 수수료 0원	Zero roaming fees at 22 operators nationwide
charging.card.apply.benefits.b2	charging	월별 이용내역 자동 통합 명세서	Automatic monthly integrated statement
charging.card.apply.benefits.b3	charging	충전 포인트 1% 적립	1% point earning on charging
charging.card.apply.benefits.b4	charging	모바일 앱 NFC 결제 지원	Mobile app NFC payment supported
charging.card.apply.benefits.more	charging	혜택 자세히 보기	View Benefits Detail
charging.card.apply.benefits.title	charging	통합카드 핵심 혜택	Integrated Card Key Benefits
charging.card.apply.btn.check	charging	발급 상태 조회	Check Status
charging.card.apply.cost.free	charging	무료	Free
charging.card.apply.cost.note	charging	단, 분실 재발급 시 5,000원 부과	Note: KRW 5,000 fee applies for lost-card reissuance
charging.card.apply.cost.title	charging	발급 비용	Issuance Cost
charging.card.apply.desc	charging	전국 모든 공공·민간 충전소에서 사용 가능한 통합카드입니다. 로밍 수수료 없이 모든 사업자 충전기를 이용할 수 있습니다.	Integrated card usable at all public and private chargers nationwide, with no roaming surcharge.
charging.card.apply.h1	charging	회원카드 신청·발급조회	Apply / Check Card
charging.card.apply.h3	charging	환경부 무공해차 통합카드 신청	MCEE EV Integrated Card Application
charging.card.apply.lbl.name	charging	이름	Name
charging.card.apply.lbl.phone	charging	휴대폰	Mobile
charging.card.apply.lead	charging	환경부 무공해차 <strong>통합 회원카드</strong>를 신청하고 발급 진행 상태를 조회합니다.	Apply for the MCEE <strong>Integrated Membership Card</strong> and check issuance status.
charging.card.apply.ph.name	charging	홍길동	Hong Gildong
charging.card.apply.proc.s1	charging	<b>① 본인 인증</b> · 휴대폰 / PASS / 공동인증 중 선택	<b>① Identity Verification</b> · Mobile / PASS / Joint Certificate
charging.card.apply.proc.s2	charging	<b>② 기본 정보 입력</b> · 성명·연락처·주소·이메일	<b>② Basic Information</b> · Name, contact, address, email
charging.card.apply.proc.s3	charging	<b>③ 결제 수단 등록</b> · 카드/계좌 자동이체	<b>③ Payment Registration</b> · Card / Bank auto-transfer
charging.card.apply.proc.s4	charging	<b>④ 약관 동의</b> · 회원약관·개인정보·결제 동의	<b>④ Terms Agreement</b> · Member terms, privacy, payment consent
charging.card.apply.proc.s5	charging	<b>⑤ 신청 완료</b> · 발급 후 등기우편 배송 (영업일 5~7일)	<b>⑤ Application Complete</b> · Delivered by registered mail (5–7 business days)
charging.card.apply.proc.title	charging	신청 절차	Application Process
charging.card.apply.status.title	charging	발급 진행 상태 조회	Check Issuance Status
charging.card.benefit.desc	charging	전국 모든 공공·민간 충전소에서 로밍 수수료 없이 사용. 이용요금·포인트·명세서를 한 화면에서 관리합니다.	Use at all public and private chargers nationwide without roaming surcharge. Manage fees, points, and statements in one place.
charging.card.benefit.h3	charging	환경부 무공해차 통합카드 핵심 혜택	MCEE EV Integrated Card Key Benefits
charging.card.benefit.lost.desc	charging	분실·도용 보호	Loss & Fraud Protection
charging.card.benefit.lost.sub	charging	연중무휴 분실 신고 및 재발급 지원	Year-round loss reporting and reissue support
charging.card.benefit.lost.unit	charging	시간	-hour
charging.card.benefit.night.desc	charging	심야 충전 할인	Night Charging Discount
charging.card.benefit.night.sub	charging	23:00~06:00 심야 시간 자동 적용	Auto-applied 23:00–06:00
charging.card.benefit.night.unit	charging	%	%
charging.card.benefit.point.desc	charging	공공 충전 포인트	Public Charging Points
charging.card.benefit.point.sub	charging	환경부 공공 충전 시 자동 적립 (1P = 1원)	Auto-accrue at MCEE public chargers (1P = 1 KRW)
charging.card.benefit.point.unit	charging	%	%
charging.card.benefit.roaming.desc	charging	로밍 수수료	Roaming Surcharge
charging.card.benefit.roaming.rate	charging	0	0
charging.card.benefit.roaming.sub	charging	모든 사업자 충전기에서 기본 요금으로 이용	Use any operator's charger at the base rate
charging.card.benefit.roaming.unit	charging	원	 KRW
charging.card.btn.apply	charging	카드 신청하기	Apply for Card
charging.card.check.btn	charging	조회하기	Check
charging.card.check.h3	charging	발급 상태 조회	Check Issuance Status
charging.card.check.label	charging	성명 또는 휴대전화	Name or Phone
charging.card.check.ph	charging	신청 시 기재한 정보	Information entered when applying
charging.card.edit.addr2.val	charging	서울특별시 종로구 세종대로 209	209 Sejong-daero, Jongno-gu, Seoul
