파일,위치,삭제내용,사유
js/partials.js,558~632행,마이페이지 좌측 사이드 네비 죽은 주입 블록(mpSideSlot 선언·remove·if(false){ICONS·groups·aside html} 전체),슬롯 마크업 제거로 런타임 미실행 죽은코드
mypage-info.html,32행,"<div id=""mp-side-slot""></div> 빈 슬롯 마크업",좌측 네비 폐지로 빈 슬롯(.mp-shell 래퍼는 유지 → 풀폭 렌더 불변)
mypage-password.html,32행,"<div id=""mp-side-slot""></div> 빈 슬롯 마크업",좌측 네비 폐지로 빈 슬롯(.mp-shell 래퍼는 유지 → 풀폭 렌더 불변)
mypage-notifications.html,32행,"<div id=""mp-side-slot""></div> 빈 슬롯 마크업",좌측 네비 폐지로 빈 슬롯(.mp-shell 래퍼는 유지 → 풀폭 렌더 불변)
mypage-withdraw.html,32행,"<div id=""mp-side-slot""></div> 빈 슬롯 마크업",좌측 네비 폐지로 빈 슬롯(.mp-shell 래퍼는 유지 → 풀폭 렌더 불변)
mypage-accounts.html,43행,"<div id=""mp-side-slot""></div> 빈 슬롯 마크업",좌측 네비 폐지로 빈 슬롯(.mp-shell 래퍼는 유지 → 풀폭 렌더 불변)
mypage-contests.html,45행,"<div id=""mp-side-slot""></div> 빈 슬롯 마크업",좌측 네비 폐지로 빈 슬롯(.mp-shell 래퍼는 유지 → 풀폭 렌더 불변)
js/i18n-common.js,186~204행,mp.side.* 17개 키 정의(+ '마이페이지 사이드' 주석),1)에서 죽은 네비 삭제로 완전 고아(라이브 참조 0)
js/i18n-charging.js,902~905행,charging.card.point.alert.title / .desc 2개 키,charging-card 포인트 안내블록 삭제로 고아(투명성지수 모달과 무관)
langpack/i18n.csv,전체,mp.side.*(17)+charging.card.point.alert.*(2) 데이터행 19건,고아 키 langpack 정합
langpack/i18n.tsv,전체,mp.side.*(17)+charging.card.point.alert.*(2) 데이터행 19건,고아 키 langpack 정합
langpack/i18n.sql,전체,mp.side.*/charging.card.point.alert.* VALUES행 19건,고아 키 langpack 정합
langpack/i18n.json,전체,mp.side.*/charging.card.point.alert.* 객체 19건,고아 키 langpack 정합(JSON 유효성 검증 통과)
js/ai-floating.js,173~181·204~206·265~266·346~347·353~354·366~367행,상단 검색창(aif-search) 제거 잔재 주석/주석처리 죽은코드 6곳,검색창 제거로 미사용(살아있는 로직·대체 포커스 설명주석은 보존)
